PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-02,11:40:56.97,1,1,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.27652,0.372853,1.356199,2371.327207,167.467143,11:30,5.62249,-1.00911,5.97382,-25.10419,15.22351,-3.08941,3.87623,-0.00908,75.74056,-4.363798,0.801113,0.45706,,,,,,,,,,,,1.97823,8.1004,0.9035,50,5.63811,-2.74018,-120.89774,0.05296,2.91313,24.67927,-20.2455,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,b09cb3d0-a6e4-11f1-821f-9fdd5340c431,82.46717,,,7.53596,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:40:56.97,2026-09-02T11:40:56.9720000-04:00,2026-09-02T15:40:56.9720000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,42610701-373b-4c96-8344-032e4306f0ec,54.52211,-121.81736,12.33963,5.62208,0.80736,-10.12275,1.00763,-2.84873,1.45657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-09-02,11:41:12.79,1,2,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.50459,1.133282,1.88894,2294.267215,163.175413,11:30,5.50175,-1.15473,6.1619,-24.28159,15.32005,-4.26504,4.52587,0.23541,76.32524,-3.457333,1.120419,0.452927,,,,,,,,,,,,2.71264,7.97941,1.01353,50,5.57519,-3.83555,-121.28682,1.71507,4.04722,23.36304,-20.2688,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,ba0eea50-a6e4-11f1-821f-9fdd5340c431,83.21974,,,7.17936,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:41:12.79,2026-09-02T11:41:12.7900000-04:00,2026-09-02T15:41:12.7900000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,52df7576-1802-4d24-83de-a9a05483b7b1,54.33467,-122.11894,11.68152,5.50125,2.43698,-10.1344,1.15271,-3.9797,2.02361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-09-02,11:41:33.72,1,3,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,2,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.92574,1.503123,1.170339,773.233825,200.316479,12:45,4.80816,-1.34438,5.77056,-42.79242,9.75331,2.8661,2.64152,-0.01629,66.26977,-6.488404,1.68336,0.521723,,,,,,,,,,,,-1.04327,5.03839,1.24593,50,4.90717,-2.29242,-107.04645,1.57546,-1.18204,22.5365,-26.46555,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,c6a432c0-a6e4-11f1-821f-9fdd5340c431,72.24605,,,7.65596,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:41:33.72,2026-09-02T11:41:33.7230000-04:00,2026-09-02T15:41:33.7230000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,21cf1fd4-0c60-4d45-89bd-aefc4ea5dda6,54.72233,-108.03607,11.26825,4.81248,2.73761,-13.23278,1.34545,-2.24051,-0.59102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-09-02,11:41:51.21,1,5,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,2,1,Cutter,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.74596,0.644411,2.920618,2471.770947,295.791478,3:45,4.81645,-1.5194,5.58779,-49.702,0.17425,3.18374,1.27717,1.47549,69.00414,-8.460898,3.488163,0.508298,,,,,,,,,,,,-0.70118,0.35228,1.26632,50,4.83945,-5.71799,-109.76601,-0.33453,-0.8449,21.66968,-31.74957,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,d1472110-a6e4-11f1-821f-9fdd5340c431,74.15423,,,6.74183,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:41:51.21,2026-09-02T11:41:51.2190000-04:00,2026-09-02T15:41:51.2190000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,1a24a62f-1a39-4dad-b91d-8c7f111c8ebe,54.91033,-110.73115,10.83484,4.82286,1.07955,-15.87479,1.52015,-5.68036,-0.42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-09-02,11:42:10.05,1,6,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,3,1,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.88666,-1.756849,2.09614,2342.819806,170.17225,11:45,5.57651,-0.95756,6.25272,-23.34659,15.95044,-2.54063,2.00925,0.76459,76.658,-6.169991,1.637292,0.451181,,,,,,,,,,,,1.92205,9.17556,0.80309,50,5.43442,-4.36118,-121.77543,-4.38329,2.8768,24.64012,-18.44074,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,dc4f87f0-a6e4-11f1-821f-9fdd5340c431,83.54166,,,7.22866,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:42:10.05,2026-09-02T11:42:10.0530000-04:00,2026-09-02T15:42:10.0530000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,b5cb6094-c3b5-4289-8b93-42d366647d37,54.24428,-122.63121,12.32006,5.57554,-3.74282,-9.22037,0.95629,-4.4611,1.4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-09-02,11:42:29.74,1,7,"Wichmann, Aaron",10146177,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,3,2,ChangeUp,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,73.94441,0.090341,2.604853,864.996932,169.271683,11:45,4.8278,-1.45685,5.7279,-39.72293,12.63682,-2.02744,1.60178,0.80185,66.76686,-7.308336,2.242489,0.520799,,,,,,,,,,,,1.89284,6.95465,1.24074,50,4.8113,-4.79851,-107.08706,-0.96469,2.15835,21.60304,-24.24379,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,e86b5aa0-a6e4-11f1-821f-9fdd5340c431,72.37425,,,7.17756,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:42:29.74,2026-09-02T11:42:29.7400000-04:00,2026-09-02T15:42:29.7400000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,71034b35-e82a-4285-9de2-3a72e2a665c9,54.76661,-108.04436,10.80152,4.83024,0.10964,-12.12189,1.4555,-4.89415,1.07917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-09-02,11:42:49.79,2,1,"Wichmann, Aaron",10146177,Left,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,74.54605,2.076207,0.892046,1506.085329,120.337681,10:00,4.88071,-1.56207,5.85135,-43.21176,7.51004,-9.94127,3.20997,-1.56157,67.76494,-5.953184,-0.890283,0.512588,,,,,,,,,,,,5.3376,3.71898,1.49543,50,5.02438,-1.32685,-108.14703,2.66282,6.2728,20.21491,-27.80347,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,f40cf440-a6e4-11f1-821f-9fdd5340c431,73.53354,,,6.7811,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:42:49.79,2026-09-02T11:42:49.7950000-04:00,2026-09-02T15:42:49.7950000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,9a2a1537-cc01-4cfa-8eb5-01ee5508c656,54.64539,-109.01189,10.10745,4.88501,3.85235,-13.90174,1.55793,-1.59522,3.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-09-02,11:43:09.44,2,2,"Wichmann, Aaron",10146177,Left,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.53748,-0.419407,1.571384,2408.864649,146.170378,10:45,5.52,-1.0159,6.36225,-22.33363,16.04769,-9.94154,3.27274,-0.39791,77.266,-4.66545,-0.228431,0.445894,,,,,,,,,,,,5.6152,8.8493,0.90658,50,5.47906,-2.9961,-122.866,-1.50236,8.57645,24.53184,-18.65798,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,ffac43f0-a6e4-11f1-821f-9fdd5340c431,84.53232,,,7.27148,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:43:09.44,2026-09-02T11:43:09.4460000-04:00,2026-09-02T15:43:09.4460000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,30bc73a0-9e12-455f-a77e-78218cd478e5,54.13519,-123.68889,12.26592,5.51896,-0.8765,-9.32899,1.0119,-3.28379,4.28822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-09-02,11:43:29.91,2,3,"Wichmann, Aaron",10146177,Left,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.81596,-0.499342,2.244816,2561.090538,328.182311,5:00,5.36579,-1.08963,5.26171,-65.12228,-10.34674,7.59418,-0.53055,1.65324,66.83375,-12.223772,3.596662,0.532678,,,,,,,,,,,,-3.13221,-4.72508,0.87802,50,5.27112,-4.40908,-105.56236,-3.0095,-3.47209,20.92118,-37.4119,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,0beb5610-a6e5-11f1-821f-9fdd5340c431,70.76028,,,5.98222,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:43:29.91,2026-09-02T11:43:29.9140000-04:00,2026-09-02T15:43:29.9140000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,274b3744-7d82-425d-a79d-bdad16d321e4,55.2402,-106.59585,10.46059,5.37414,-1.16139,-18.70595,1.09159,-4.23756,-1.73604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-09-02,11:43:59.91,2,4,"Wichmann, Aaron",10146177,Left,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,1,2,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.26807,0.420169,1.79023,2385.17092,150.755937,11:00,5.32739,-1.10262,6.34094,-24.15399,14.57481,-7.46804,3.70157,-0.07628,76.84476,-4.162701,0.439382,0.447908,,,,,,,,,,,,4.38634,7.84032,0.97572,50,5.34645,-3.54331,-122.42937,0.23122,6.64216,24.69111,-20.30155,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260902-ThomasMoreStadium-Private-1,1da83300-a6e5-11f1-821f-9fdd5340c431,84.15227,,,7.42331,,,,,,,49b4253f-79d4-4a2a-a883-d0621e740937,2026-09-02,15:43:59.91,2026-09-02T11:43:59.9190000-04:00,2026-09-02T15:43:59.9190000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,36545b96-ae13-45a2-a72b-95bfd6c3401b,54.15586,-123.26466,12.34555,5.32701,0.91802,-10.15077,1.09939,-3.76802,3.32108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
