PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-08-26,08:15:30.55,1,1,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.3045,-1.412582,-0.644015,2427.575383,205.21453,12:45,6.25543,0.83618,6.07477,-21.44348,10.74465,4.63422,3.1611,0.62645,85.37571,-5.414442,0.191125,0.408337,,,,,,,,,,,,-2.54953,6.18028,-0.78879,50,6.13462,1.31402,-134.25718,-4.02047,-4.70617,25.983,-20.76596,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,d4cc8840-a147-11f1-93dc-dfc620260ded,92.3071,,,6.9288,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:15:30.55,2026-08-26T08:15:30.5598976-04:00,2026-08-26T12:15:30.5598976Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,6e61aca8-3f13-47f3-866e-d419a3db6abb,54.4242,-135.11069,12.9915,6.25548,-3.33834,-10.38298,-0.83449,1.46861,-2.35309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-08-26,08:15:47.52,1,2,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.02846,-3.782517,-3.152322,2250.257926,191.897056,12:30,6.02771,1.02519,6.50471,-15.07969,16.90399,3.3713,1.28924,-1.58992,85.34972,-6.643093,-2.541561,0.407039,,,,,,,,,,,,-2.52547,10.07001,-0.80619,50,5.75582,7.22185,-133.52077,-9.24549,-4.62114,25.08588,-13.74794,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,def8e700-a147-11f1-93dc-dfc620260ded,92.60164,,,6.67874,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:15:47.52,2026-08-26T08:15:47.5269632-04:00,2026-08-26T12:15:47.5269632Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,27a0662e-2d5c-47ef-936e-58643425fc2a,53.9947,-134.2692,12.54294,6.02553,-8.83532,-6.87397,-1.02371,7.35971,-2.31057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-08-26,08:16:03.74,1,3,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,1,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.21026,-0.914468,-1.691755,2448.123293,230.278229,1:45,5.96989,0.99336,6.11138,-21.36777,11.63658,12.85863,3.34325,0.50019,84.08852,-4.918957,0.625836,0.413482,,,,,,,,,,,,-7.07071,6.54237,-0.87015,50,5.8884,3.3831,-132.63233,-2.80392,-12.70397,26.0713,-20.41934,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,e89b2e30-a147-11f1-93dc-dfc620260ded,91.15855,,,7.12174,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:16:03.74,2026-08-26T08:16:03.7490176-04:00,2026-08-26T12:16:03.7490176Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,6d1066cb-be16-4498-bd52-c6432be14208,54.38794,-133.49207,13.03565,5.96976,-2.13056,-10.20967,-0.98862,3.80203,-6.35198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-08-26,08:16:20.54,1,4,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,1,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.88085,-1.955157,-2.375528,2408.99889,236.035609,1:45,5.81135,1.44526,6.37962,-21.86222,11.75509,16.02973,2.18859,0.59443,83.14502,-6.058356,0.527943,0.417304,,,,,,,,,,,,-9.00182,6.92626,-1.28136,50,5.66004,4.80294,-130.68704,-5.12426,-15.73126,24.83709,-20.06991,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,f2958070-a147-11f1-93dc-dfc620260ded,90.32365,,,6.73582,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:16:20.54,2026-08-26T08:16:20.5427200-04:00,2026-08-26T12:16:20.5427200Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,d0615f2b-8639-4aa6-a8d4-2a38cad5c170,54.12116,-131.46794,12.41855,5.81123,-4.49325,-10.03496,-1.44014,5.29754,-7.86563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-08-26,08:16:57.66,1,5,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,2,2,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.73964,0.551848,-0.658313,2608.168362,58.035001,8:00,5.66834,1.43797,5.56879,-54.22853,-8.48689,-15.90867,1.66483,-0.50272,72.41534,-9.309274,-3.502999,0.486774,,,,,,,,,,,,7.908,-4.09508,-1.37037,50,5.67991,1.92132,-114.40103,-0.72947,10.41685,22.29449,-37.5683,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,08cff640-a148-11f1-93dc-dfc620260ded,77.43313,,,6.3243,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:16:57.66,2026-08-26T08:16:57.6658432-04:00,2026-08-26T12:16:57.6658432Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,c0873c2f-ed15-4493-aecc-ae46409a9914,54.93317,-115.3584,11.14725,5.6766,0.8838,-18.78415,-1.44327,1.474,5.20843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-08-26,08:17:22.01,1,6,"Dickhaut, Kaden",14,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.85949,-2.233311,-1.6543,2358.822682,197.801759,12:30,6.17728,0.74357,6.22088,-16.86324,16.26021,4.91429,2.70936,-0.3738,83.90559,-5.42522,-0.766996,0.414228,,,,,,,,,,,,-2.9624,9.29634,-0.62218,50,6.00146,3.61435,-132.05711,-5.63968,-5.28401,25.46547,-15.59215,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,1744d420-a148-11f1-93dc-dfc620260ded,90.99449,,,6.9539,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:17:22.01,2026-08-26T08:17:22.0171776-04:00,2026-08-26T12:17:22.0171776Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,656d7277-d107-4e28-8fa4-a2c654994a62,54.27787,-132.87948,12.73273,6.17546,-5.13615,-7.79607,-0.74165,3.78499,-2.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-08-26,08:17:36.06,2,1,"Dickhaut, Kaden",14,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,0,0,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.48294,-0.020584,-1.566601,2240.207171,60.425906,8:00,5.66972,1.0967,5.64871,-48.82215,-4.59492,-10.26276,1.58201,-1.22009,73.93674,-8.89219,-3.402799,0.478648,,,,,,,,,,,,4.86776,-2.04154,-0.95699,50,5.63629,3.5432,-115.58712,-1.66389,6.6349,20.03066,-34.95675,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,1faa2e80-a148-11f1-93dc-dfc620260ded,78.74771,,,5.54621,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:17:36.06,2026-08-26T08:17:36.0659456-04:00,2026-08-26T12:17:36.0659456Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,9095f98f-5f52-4d3e-8fb5-c8f259339f1e,54.85363,-116.42519,10.01533,5.67531,-0.20132,-17.47837,-1.09943,3.2656,3.31745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-08-26,08:18:01.19,2,2,"Dickhaut, Kaden",14,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,1,0,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.15509,-0.128734,-1.490343,2553.122932,51.714778,7:45,5.65156,1.25382,5.53768,-54.73235,-9.48922,-13.77367,0.97017,-1.28725,73.12272,-10.041425,-3.952029,0.484114,,,,,,,,,,,,6.62933,-4.50484,-1.11486,50,5.60325,3.51044,-115.00734,-2.11055,8.84261,22.14391,-38.18286,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,2e94d8a0-a148-11f1-93dc-dfc620260ded,77.8586,,,6.03238,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:18:01.19,2026-08-26T08:18:01.1936256-04:00,2026-08-26T12:18:01.1936256Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,45b9ef5e-b2ac-47b3-ae01-2c502270a097,54.96511,-115.9594,11.07195,5.6587,-0.46892,-19.09143,-1.25761,3.13026,4.42131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-08-26,08:18:15.60,2,3,"Dickhaut, Kaden",14,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.48694,-0.913985,-2.999705,2436.459459,211.143061,1:00,6.073,1.05163,6.14889,-20.75481,12.05481,6.71189,3.49769,-1.16326,84.33066,-4.807858,-1.791389,0.412261,,,,,,,,,,,,-4.23221,6.76449,-0.8267,50,5.99257,6.68774,-132.90951,-2.78186,-7.63925,26.06007,-19.96398,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,373985f0-a148-11f1-93dc-dfc620260ded,91.42863,,,7.15628,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:18:15.60,2026-08-26T08:18:15.6023808-04:00,2026-08-26T12:18:15.6023808Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,90255a1e-face-4021-a68c-4d9108a1008b,54.35011,-133.75973,13.03003,6.0727,-2.13053,-9.98199,-1.04896,6.93698,-3.81962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-08-26,08:18:31.79,2,4,"Dickhaut, Kaden",14,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,3,0,Sweeper,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.14228,0.460953,-1.808764,2425.561744,59.178289,8:00,5.56672,1.35605,5.67743,-52.24129,-6.003,-12.47198,1.64321,-1.36999,71.94468,-9.060785,-4.040318,0.489409,,,,,,,,,,,,5.85949,-2.82603,-1.19542,50,5.57239,4.04756,-113.49921,-0.7952,7.60823,21.66561,-35.84349,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260826-ThomasMoreStadium-Private-1,40d9f860-a148-11f1-93dc-dfc620260ded,77.0162,,,6.1976,,,,,,,b66ccdef-3a4e-4b14-8868-a11c81656610,2026-08-26,12:18:31.79,2026-08-26T08:18:31.7949952-04:00,2026-08-26T12:18:31.7949952Z,,v3,643-145989,643-145989,,"Barth, Drew",1000298109,Right,THO_MOR,6f8d3c04-a3ad-4715-8cbd-752cc1070841,54.82389,-114.41632,10.8328,5.57394,0.72207,-17.92175,-1.35994,3.7255,3.80412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
