PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-08-31,14:24:07.77,1,1,"Adkins, Karson ",1,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.55168,-1.174962,-1.526312,2335.878509,213.702037,1:00,5.81233,1.11096,5.59447,-20.41576,16.03316,10.00343,3.01345,0.51919,80.89958,-4.981535,0.25902,0.434524,,,,,,,,,,,,-5.44587,8.73831,-0.98675,50,5.69833,2.96515,-127.23614,-3.2752,-9.03364,23.19785,-17.6789,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,27c09e40-a569-11f1-89b3-35364c0ff826,86.74422,,,6.6521,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:24:07.77,2026-08-31T14:24:07.7737984-04:00,2026-08-31T18:24:07.7737984Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,217040ab-dec4-4057-af2a-3cefb6d21acd,54.90443,-128.1272,11.59893,5.81109,-2.59614,-8.83945,-1.10731,3.31215,-4.51682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-08-31,14:24:25.75,1,2,"Adkins, Karson ",1,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.24329,-1.586901,-4.954092,2295.659369,245.859755,2:15,5.43274,1.18716,5.66521,-33.65242,10.01174,19.41462,1.14278,-1.82583,74.14122,-7.771345,-1.496962,0.475591,,,,,,,,,,,,-11.13422,5.88429,-0.7802,50,5.27676,9.32757,-116.22286,-4.30428,-15.3684,19.92036,-24.05203,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,327d0800-a569-11f1-89b3-35364c0ff826,79.25382,,,6.10208,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:24:25.75,2026-08-31T14:24:25.7522688-04:00,2026-08-31T18:24:25.7522688Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,fd6855be-1d63-4f9f-a4f2-f88dfe17f135,54.8351,-117.04866,9.96018,5.43452,-3.30721,-12.02601,-1.18007,9.96466,-7.6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-08-31,14:24:41.39,1,3,"Adkins, Karson ",1,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.07619,-2.188016,-1.35382,2341.061871,210.672364,1:00,5.88585,1.029,5.51106,-14.98229,21.30966,11.99402,2.5897,0.76229,81.06485,-5.027069,0.783251,0.433587,,,,,,,,,,,,-6.41973,11.66843,-0.91931,50,5.68518,2.50524,-127.88732,-5.33068,-10.71604,24.42046,-12.69675,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,3bd3a030-a569-11f1-89b3-35364c0ff826,86.93163,,,7.01134,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:24:41.39,2026-08-31T14:24:41.3935616-04:00,2026-08-31T18:24:41.3935616Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,ea36a4c7-4bb0-44e7-8b58-5c82d687b169,54.98792,-128.83626,12.21023,5.88273,-4.83731,-6.34838,-1.02475,2.92164,-5.35802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-08-31,14:24:59.61,1,4,"Adkins, Karson ",1,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Bottom,0,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,75.86832,2.317414,-0.37068,2372.303875,39.578774,7:15,5.67172,1.07583,5.27371,-62.6424,-13.28721,-12.14477,2.62941,-0.28441,70.3105,-8.990562,-2.529067,0.505636,,,,,,,,,,,,6.01209,-6.89926,-1.03258,50,5.83655,1.17523,-110.25314,2.31586,7.43981,18.62319,-40.7117,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,46ac92a0-a569-11f1-89b3-35364c0ff826,74.54466,,,5.55781,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:24:59.61,2026-08-31T14:24:59.6199936-04:00,2026-08-31T18:24:59.6199936Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,179f5703-f3c5-4bb1-9ecc-c10cdfb22361,55.23055,-111.13314,9.31159,5.68167,4.2396,-20.35585,-1.07981,0.82367,3.7199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-08-31,14:25:16.87,2,1,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.98473,0.753746,-1.079466,2421.428525,30.157693,7:00,5.6902,1.00878,5.10479,-64.3607,-13.43788,-8.66107,1.03716,-0.73017,69.72906,-10.790477,-2.616528,0.513603,,,,,,,,,,,,4.07374,-6.62744,-0.89978,50,5.70976,2.37864,-108.97677,-0.77053,4.91169,18.6833,-40.16472,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,50f1a980-a569-11f1-89b3-35364c0ff826,73.38827,,,5.25567,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:25:16.87,2026-08-31T14:25:16.8732160-04:00,2026-08-31T18:25:16.8732160Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,08b6ae63-f336-493d-ac4b-644ccc062728,55.39943,-109.89856,9.34165,5.69889,1.21112,-20.08236,-1.01116,2.1363,2.45584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-08-31,14:25:57.86,2,2,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.9313,-0.508868,-2.837998,2148.038385,252.338895,2:30,5.34053,1.29481,5.52736,-37.64451,7.85205,20.11462,1.72719,0.3158,72.42482,-7.427454,0.747974,0.485468,,,,,,,,,,,,-11.01902,4.51831,-1.0621,50,5.27107,4.9052,-114.53538,-2.23356,-14.63316,21.21047,-26.17378,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,695b3450-a569-11f1-89b3-35364c0ff826,77.64144,,,6.50648,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:25:57.86,2026-08-31T14:25:57.8617344-04:00,2026-08-31T18:25:57.8617344Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,2da0dfc8-d5cc-4e4a-b6ac-d9e4bcfbce0c,54.97271,-115.45259,10.60523,5.34319,-1.10173,-13.08689,-1.2879,5.53799,-7.31658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-08-31,14:26:16.55,2,3,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.34257,-1.216636,-4.485361,2313.794692,245.061813,2:15,5.38529,1.36239,5.77232,-34.6738,9.97902,18.43599,1.36,-1.28371,72.9425,-7.617389,-1.192832,0.480946,,,,,,,,,,,,-10.6106,5.84071,-1.00239,50,5.26345,8.31918,-114.95741,-3.52213,-14.24515,20.66004,-24.33265,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,749a1480-a569-11f1-89b3-35364c0ff826,78.37153,,,6.40007,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:26:16.55,2026-08-31T14:26:16.5511168-04:00,2026-08-31T18:26:16.5511168Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,c37c67f1-d06e-4610-99a5-6144eea69692,54.72696,-115.80382,10.33002,5.38733,-2.52526,-12.16633,-1.35517,8.90278,-7.12258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-08-31,14:26:37.28,2,4,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.82374,-1.908617,-2.017926,2359.274793,213.42153,1:00,5.75358,1.08795,5.54253,-16.85493,19.57355,12.2054,2.5635,0.21839,80.9103,-5.082102,0.157283,0.434402,,,,,,,,,,,,-6.69268,10.71906,-0.92143,50,5.57708,3.96981,-127.51875,-4.77087,-11.12077,23.97962,-14.36289,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,80de08a0-a569-11f1-89b3-35364c0ff826,86.76853,,,6.91344,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:26:37.28,2026-08-31T14:26:37.2860928-04:00,2026-08-31T18:26:37.2860928Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,2f4af213-9a67-4631-a9b5-c0ef896ad66f,54.95648,-128.44743,11.98981,5.75108,-4.21463,-7.18145,-1.08351,4.40049,-5.56039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-08-31,14:27:24.43,2,5,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.31973,-1.157831,-1.793151,2370.055582,135.242727,10:30,5.65126,0.98044,5.39118,-39.87136,2.35142,-1.28425,1.24284,-0.80769,76.30839,-8.368419,-2.021769,0.467676,,,,,,,,,,,,0.25972,1.7102,-0.81935,50,5.51914,3.75275,-118.28195,-3.77561,0.37543,18.26038,-29.70196,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,9cfa6240-a569-11f1-89b3-35364c0ff826,80.59525,,,5.01134,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:27:24.43,2026-08-31T14:27:24.4376576-04:00,2026-08-31T18:27:24.4376576Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,438b6257-c1b0-48fb-9134-74381d2c8dca,55.11088,-119.06835,9.13019,5.6542,-2.49646,-14.85098,-0.98062,3.73658,0.18771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-08-31,14:27:47.56,2,6,"Adkins, Karson ",1,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Bottom,1,3,2,Curveball,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,75.15465,0.873542,-0.190414,2394.250429,42.651429,7:30,5.55788,1.26045,5.1547,-60.75094,-10.74241,-11.07434,1.31767,0.15834,70.51991,-10.025572,-2.157216,0.508972,,,,,,,,,,,,5.53945,-5.29339,-1.23363,50,5.59165,0.77633,-109.37171,-0.40381,6.81094,16.56838,-38.68242,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260831-ThomasMoreStadium-Private-1,aad2d910-a569-11f1-89b3-35364c0ff826,74.05608,,,4.63474,,,,,,,ab640661-0df2-41d9-a92f-34ff5f4ec064,2026-08-31,18:27:47.56,2026-08-31T14:27:47.5648512-04:00,2026-08-31T18:27:47.5648512Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,c51a0b67-b5dc-44ac-b8ea-8e70cd39ae65,55.35008,-110.1792,8.28419,5.56539,1.48143,-19.34121,-1.26338,0.44439,3.40547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
