PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-16,14:24:55.44,1,1,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.86076,-0.432349,-4.144318,2050.387164,225.721532,1:30,5.76436,3.51043,6.51689,-24.28147,13.3869,12.60363,3.34315,0.75142,78.20367,-5.015371,-1.863556,0.441733,,,,,,,,,,,,-7.65859,7.47304,-3.22647,50,5.72343,8.46951,-123.21506,-1.59839,-11.88073,22.39872,-20.58113,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,ead28990-b1fb-11f1-abee-b5fec3fd3cb5,85.32858,,,6.6571,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:24:55.44,2026-09-16T14:24:55.4470000-04:00,2026-09-16T18:24:55.4470000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,86ae12ec-2596-4643-bfcd-98d0009c8b42,53.98242,-123.93689,11.19936,5.76425,-0.93513,-10.29056,-3.50559,8.85239,-5.94037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-09-16,14:25:11.53,1,2,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,1,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.36451,-0.253387,-3.923169,2113.473154,225.110225,1:30,5.63308,3.44378,6.47112,-25.19946,13.00556,11.92847,3.29988,0.82929,77.66902,-5.004301,-1.765617,0.444868,,,,,,,,,,,,-7.24591,7.22323,-3.172,50,5.60383,7.96529,-122.50437,-1.24139,-11.09802,22.41416,-21.11078,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,f46a2260-b1fb-11f1-abee-b5fec3fd3cb5,84.72716,,,6.69549,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:25:11.53,2026-09-16T14:25:11.5390000-04:00,2026-09-16T18:25:11.5390000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,5edf9a23-2e6d-4eba-a03b-946bb94d93be,54.02786,-123.23913,11.20708,5.63318,-0.54936,-10.55539,-3.43907,8.32909,-5.54901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-09-16,14:25:27.62,1,3,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,2,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.78507,0.386201,-3.311563,2146.196087,224.594719,1:30,5.60116,3.54947,6.47685,-24.4249,13.36725,12.08666,3.92099,1.51242,77.95318,-4.230541,-1.123233,0.442458,,,,,,,,,,,,-7.17477,7.24323,-3.32129,50,5.61736,6.68276,-123.18879,0.15802,-11.10511,22.81251,-20.96299,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,fdffe670-b1fb-11f1-abee-b5fec3fd3cb5,85.1887,,,6.83189,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:25:27.62,2026-09-16T14:25:27.6200000-04:00,2026-09-16T18:25:27.6200000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,d78c7a3b-b71d-45f7-80fc-887a4d02baf9,54.02195,-123.93135,11.40626,5.60111,0.84037,-10.48149,-3.5447,7.04423,-5.55256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-09-16,14:25:47.88,1,4,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,3,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.34895,0.120585,-4.016583,2084.794597,237.788367,2:00,5.71413,3.46319,6.18204,-29.13844,11.72044,16.53399,3.39755,1.126,75.23856,-5.345836,-1.041584,0.46006,,,,,,,,,,,,-9.68945,6.42134,-3.16783,50,5.70843,7.76973,-119.44444,-0.59641,-13.99517,23.05408,-22.89922,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,0a3b2800-b1fc-11f1-abee-b5fec3fd3cb5,81.92938,,,7.11039,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:25:47.88,2026-09-16T14:25:47.8830000-04:00,2026-09-16T18:25:47.8830000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,7bd47bc3-3deb-406e-b0ae-d437e2f30590,54.3168,-120.27474,11.52704,5.71506,0.22831,-11.44961,-3.45674,8.27377,-6.99759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-09-16,14:26:03.23,1,5,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,3,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.23463,-0.552958,-3.798836,2091.902315,222.097678,1:30,5.61975,3.41753,6.49866,-26.28919,12.90516,10.62091,2.92031,0.81061,76.71744,-5.503711,-1.876187,0.450592,,,,,,,,,,,,-6.56418,7.26418,-3.15591,50,5.56928,7.65166,-120.89008,-1.88814,-9.78927,21.85819,-21.34085,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,1338a3b0-b1fc-11f1-abee-b5fec3fd3cb5,83.65098,,,6.51719,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:26:03.23,2026-09-16T14:26:03.2310000-04:00,2026-09-16T18:26:03.2310000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,d40072d1-e779-4e71-9d06-cbce16424eaa,54.00087,-121.61133,10.92909,5.61997,-1.18396,-10.67043,-3.41372,7.97468,-4.89464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-09-16,14:26:26.32,1,6,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,3,2,Curveball,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,68.20458,2.039041,-3.611008,2450.486214,60.999594,8:00,5.91766,3.53832,5.79285,-65.41397,-5.5726,-12.90205,2.36779,-0.90026,63.85033,-9.842336,-5.914567,0.556765,,,,,,,,,,,,5.73142,-2.92866,-3.2329,50,6.04596,6.65658,-99.02814,1.70764,5.74817,14.33814,-35.11128,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,211c3e10-b1fc-11f1-abee-b5fec3fd3cb5,67.69897,,,4.35425,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:26:26.32,2026-09-16T14:26:26.3220000-04:00,2026-09-16T18:26:26.3220000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,cabaf9c6-5848-4b9f-90fa-e04b10756a32,54.71055,-99.70784,7.16907,5.92555,3.3721,-17.55564,-3.542,6.38409,2.87408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-09-16,14:26:49.15,2,1,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.17473,2.855345,-3.095945,2370.356643,67.974883,8:15,5.68866,3.61265,5.56505,-59.15645,-2.32504,-9.37973,3.43247,-0.06397,65.4763,-7.890796,-4.763261,0.542582,,,,,,,,,,,,4.04496,-1.45083,-3.33895,50,5.89585,5.82366,-101.8557,3.33817,4.31132,14.44593,-33.72039,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,2eb36620-b1fc-11f1-abee-b5fec3fd3cb5,69.46861,,,4.69843,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:26:49.15,2026-09-16T14:26:49.1500000-04:00,2026-09-16T18:26:49.1500000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,df06d2fa-6662-4208-9532-735983fb4f0a,54.93727,-102.55355,7.22297,5.69524,4.96713,-16.8602,-3.61525,5.6154,2.15566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-09-16,14:27:12.21,2,2,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,67.95935,5.255746,-1.3743,2375.615929,58.976469,8:00,5.96439,3.53422,5.90838,-65.88299,-6.00189,-12.50379,5.36757,1.21639,63.17938,-6.797217,-3.611701,0.55695,,,,,,,,,,,,6.07874,-3.80382,-3.41673,50,6.34941,2.76277,-98.55271,7.25201,6.07692,13.24526,-35.97675,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,3c6c4700-b1fc-11f1-abee-b5fec3fd3cb5,67.67651,,,4.77997,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:27:12.21,2026-09-16T14:27:12.2100000-04:00,2026-09-16T18:27:12.2100000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,167a429d-a992-4853-8d86-87069129d589,54.59516,-99.16837,6.62263,5.97346,8.92426,-17.98837,-3.53859,2.48031,3.03846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-09-16,14:27:33.46,2,3,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,2,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.88218,1.620489,-3.104224,2442.30498,65.808597,8:15,5.71819,3.50808,6.03351,-58.49684,-3.78481,-11.58981,2.34663,-0.33507,66.33357,-9.069751,-5.185123,0.532369,,,,,,,,,,,,5.25477,-1.94886,-3.25915,50,5.8128,5.95533,-103.03011,1.28943,5.71711,15.16548,-34.29438,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,490e39a0-b1fc-11f1-abee-b5fec3fd3cb5,70.80132,,,4.54861,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:27:33.46,2026-09-16T14:27:33.4670000-04:00,2026-09-16T18:27:33.4670000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,139430f1-ed89-4f99-8462-ac3fb3cc0593,54.46931,-103.68589,7.58274,5.72498,2.77235,-17.14719,-3.51132,5.70812,2.85855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-09-16,14:27:50.19,2,4,"O'Keefe, Finn",1000511276,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,2,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,72.76914,2.59813,-3.98495,2527.278115,57.565338,8:00,5.54776,3.66101,5.83006,-56.75968,-3.95268,-8.55945,3.2404,-0.76247,67.39081,-7.770549,-5.511315,0.523019,,,,,,,,,,,,3.34229,-2.25366,-3.33014,50,5.72672,7.64191,-105.49636,3.11403,3.78947,16.92921,-34.72926,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-1,52ff1600-b1fc-11f1-abee-b5fec3fd3cb5,72.0671,,,5.37833,,,,,,,05add5f6-66b7-442f-8152-bdca8576920c,2026-09-16,18:27:50.19,2026-09-16T14:27:50.1920000-04:00,2026-09-16T18:27:50.1920000Z,,v3,643-145989,643-145989,,"Marushi, Brady",10928296,Right,THO_MOR,25d372de-29e3-4bfc-8a71-e4400ece1f6a,54.67128,-106.24333,8.46461,5.55552,4.64638,-17.36463,-3.66364,7.47471,1.89474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
