PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-08-15,11:12:13.15,1,1,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.61279,-3.344707,-1.73086,2388.020228,207.478851,1:00,6.46322,1.60643,5.50991,-14.46162,21.4771,10.60138,2.12533,0.87079,81.60413,-6.08168,0.15769,0.431472,,,,,,,,,,,,-5.8287,12.06682,-1.46292,50,6.16173,3.42805,-128.5234,-7.94415,-9.82451,24.71436,-11.83496,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,b7cae5f0-98bb-11f1-a751-8dbc8b83a9c7,87.35777,,,7.00867,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:12:13.15,2026-08-15T11:12:13.1530000-04:00,2026-08-15T15:12:13.1530000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,397fee9f-4899-4cb4-b7a0-47ff6d6b7f4a,54.98947,-129.47929,12.35718,6.46013,-7.4864,-5.91748,-1.60286,3.80804,-4.91226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-08-15,11:12:35.69,1,2,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.08809,-3.419335,-3.613372,2343.802333,205.425686,12:45,6.5156,1.61539,5.46138,-13.7882,21.95915,9.91422,2.15595,-0.94497,81.92139,-6.037355,-1.853469,0.430322,,,,,,,,,,,,-5.9252,12.28453,-1.30386,50,6.20446,7.70804,-128.9786,-8.12266,-10.05883,24.86895,-11.31937,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,bf71ab40-98bb-11f1-a751-8dbc8b83a9c7,87.59131,,,7.1667,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:12:35.69,2026-08-15T11:12:35.6920000-04:00,2026-08-15T15:12:35.6920000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,0ce65ad7-ae6a-4ccb-8a7c-c5b6b4837829,55.03715,-129.9462,12.43447,6.51193,-7.68224,-5.65968,-1.61137,8.09941,-5.02942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-08-15,11:12:53.43,1,3,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.46468,-0.238901,-2.742543,2412.567538,22.546258,6:45,6.57863,1.41229,4.64709,-60.68732,-8.58449,-4.12646,1.29409,-1.53953,69.99893,-10.991371,-3.467559,0.51952,,,,,,,,,,,,1.38622,-3.80075,-1.12763,50,6.49784,5.3426,-108.14399,-2.63604,1.66523,16.31827,-36.73982,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,cb43cac0-98bb-11f1-a751-8dbc8b83a9c7,72.55248,,,4.46574,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:12:53.43,2026-08-15T11:12:53.4370000-04:00,2026-08-15T15:12:53.4370000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,44ba8d38-dff4-4a69-a94f-e3ac526638b6,55.8564,-109.0241,8.15913,6.58658,-0.6545,-18.36991,-1.41336,5.25278,0.83261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-08-15,11:13:17.06,1,4,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,2,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.73762,0.581165,-0.562988,2294.029673,5.643928,6:15,6.5376,1.5741,4.42315,-63.16059,-10.62902,-1.20165,1.82876,0.93679,69.45665,-10.622918,-0.773663,0.521653,,,,,,,,,,,,0.43811,-4.92945,-1.51307,50,6.53649,1.11536,-108.50738,-1.25197,0.52472,18.16559,-38.07826,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,d82907f0-98bb-11f1-a751-8dbc8b83a9c7,72.25581,,,5.28097,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:13:17.06,2026-08-15T11:13:17.0690000-04:00,2026-08-15T15:13:17.0690000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,b0189aea-5851-4a57-aab9-af05c89c531b,56.07961,-109.52046,9.0828,6.5471,0.87163,-19.03913,-1.57446,1.0861,0.26236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,,,1,5,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,3,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,e4a28b00-98bb-11f1-a751-8dbc8b83a9c7,,,,,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,,,,,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,09ca913e-d66c-440c-96d3-77fe7258250f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-08-15,11:13:41.45,1,6,"Whitesell, Miles",8,Right,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,3,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,,89.28242,-0.82827,-0.504615,2338.301937,207.663386,1:00,6.56033,1.73685,5.33959,-14.19705,21.39226,10.64949,4.60015,2.15092,81.86288,-3.529525,1.386933,0.429369,,,,,,,,,,,,-5.45748,11.26284,-1.69918,50,6.47581,0.6579,-129.65968,-2.29658,-9.34136,25.72185,-12.89587,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,e6d374c0-98bb-11f1-a751-8dbc8b83a9c7,87.78557,,,7.41955,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:13:41.45,2026-08-15T11:13:41.4580000-04:00,2026-08-15T15:13:41.4580000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,af1fd826-255c-4cf9-a772-18cd1fbfe428,55.15786,-130.67889,12.86092,6.55668,-1.78559,-6.44794,-1.73258,1.02804,-4.67068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-08-15,11:13:54.92,1,7,"Whitesell, Miles",8,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.58628,-1.174581,-2.809696,2385.15072,198.375425,12:30,6.64429,1.49036,5.57751,-11.94993,23.96234,7.59422,4.54998,-0.50303,81.15091,-3.490006,-1.457433,0.431313,,,,,,,,,,,,-4.57189,12.75548,-1.25353,50,6.53551,5.97576,-128.53012,-2.9376,-7.68917,25.2958,-10.72144,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,eeae9080-98bb-11f1-a751-8dbc8b83a9c7,87.38994,,,7.43537,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:13:54.92,2026-08-15T11:13:54.9220000-04:00,2026-08-15T15:13:54.9220000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,a404a395-b295-47f2-bff8-940b42de89ee,54.92005,-129.49481,12.6479,6.63974,-2.52872,-5.36072,-1.48702,6.269,-3.84459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,,,1,8,"Whitesell, Miles",8,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,1,0,Undefined,,Undefined,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,f6b29100-98bb-11f1-a751-8dbc8b83a9c7,,,,,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,,,,,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,941ca247-82ab-4131-b4f0-b5672fa7be48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-08-15,11:14:27.49,1,9,"Whitesell, Miles",8,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.61217,-4.458619,-2.489479,2384.650781,209.967607,1:00,6.66208,1.50297,5.58868,-14.44536,20.56119,11.26052,1.28263,0.11529,82.9263,-7.174726,-0.481696,0.42584,,,,,,,,,,,,-6.36406,11.86607,-1.29692,50,6.26913,5.16659,-129.82448,-10.57288,-10.99384,24.07648,-11.67564,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,0300be50-98bc-11f1-a751-8dbc8b83a9c7,88.51322,,,6.68587,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:14:27.49,2026-08-15T11:14:27.4970000-04:00,2026-08-15T15:14:27.4970000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,f2fc5069-36ba-4e14-b68c-c45cd786fbcb,54.91181,-130.73222,12.03824,6.65945,-10.13268,-5.83782,-1.49952,5.58109,-5.49692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-08-15,11:14:44.69,1,10,"Whitesell, Miles",8,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.55787,0.932478,-1.849584,2193.068825,147.686584,11:00,6.39262,1.85647,5.19667,-36.58734,5.81563,-2.98457,4.2213,-0.13257,75.91363,-5.716825,-2.377945,0.468673,,,,,,,,,,,,1.07571,3.03681,-1.68266,50,6.4512,3.95063,-118.53482,0.62823,1.55844,18.78094,-27.77453,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260815-ThomasMoreStadium-Private-1,0ff9f8b0-98bc-11f1-a751-8dbc8b83a9c7,80.42378,,,5.64424,,,,,,,3bbfd90c-79f3-4194-a055-f660df1654a4,2026-08-15,15:14:44.69,2026-08-15T11:14:44.6930000-04:00,2026-08-15T15:14:44.6930000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,a5e3b16d-27dd-4a10-90d7-3d2d7ebfa27a,55.30319,-119.37212,9.39047,6.3956,1.86648,-13.88726,-1.85724,3.88115,0.77922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
